"SECTOR","ndvi","elevation","ambnt_nm_x","ambnt_nm_y","AVE_PERI","AVE_INTRA","CUY_PERI","CUY_INTRA","PER_PER","PER_INT","GAT_PER","GAT_INT","AVE_INTRA_","CUY_INTRA_","AVE_PERI_","CUY_PERI_","n_femal","n_male","fumigad","rastros","cap_ttl","pos_ttl","INF","POS","ADOB","ADOB_RE","CARR","TEJ","TEL","PLAS","NOBL","LADR_NO","CALAM","n_people"
"LAS TORRES",0.1341,2213.8,"NO_ANIMAL_INTRA","NO_ANIMAL_PERI",0,0,0,0,0,0,0,0,"0","0","0","0",0,0,"NO","0",0,0,0,0,"1","0","0","1","0","0","0","0","0",0
"AULLAN CENTRO",0.6386,2257.9,"NO_ANIMAL_INTRA","PATIO",2,0,10,0,3,0,2,0,"0","0","1","1",1,1,"NO","0",8,0,1,0,"1","0","0","0","0","0","1","0","0",2
"AULLAN CENTRO",0.6584,2271.34,"DORMITORIO_COCINA","PATIO",10,0,0,4,7,0,1,0,"0","1","1","0",3,0,"NO","0",0,0,0,0,"1","0","0","0","0","0","1","0","0",3
"AULLAN CENTRO",0.6584,2221.67,"CORRAL","PATIO",10,0,1,15,1,0,1,0,"0","1","1","1",1,0,"SI","1",6,0,1,0,"1","0","0","0","0","0","0","0","1",1
"CARPACHACA",0.5677,2319.3,"CORRAL","PATIO",10,0,0,8,3,0,0,0,"0","1","1","0",2,0,"SI","0",0,0,0,0,"1","0","0","0","0","0","1","0","1",2
"LAS TORRES",0.3125,2186.14,"NO_ANIMAL_INTRA","NO_ANIMAL_PERI",0,0,0,0,0,0,0,0,"0","0","0","0",0,0,"NO","0",0,0,0,0,"1","0","0","0","0","0","0","0","1",0
"AULLAN CENTRO",0.6386,2256.72,"NO_ANIMAL_INTRA","NO_ANIMAL_PERI",0,0,0,0,0,0,0,0,"0","0","0","0",1,0,"NO","0",0,0,0,0,"1","0","1","0","0","0","1","0","1",1
"LAS TORRES",0.1341,2158.88,"NO_ANIMAL_INTRA","CORRAL",10,0,0,0,0,0,0,0,"0","0","1","0",4,0,"SI","0",2,0,1,0,"1","0","1","1","0","0","1","0","1",4
"AULLAN CENTRO",0.2715,2223.55,"NO_ANIMAL_INTRA","PATIO",2,0,20,0,2,0,1,0,"0","0","1","1",3,1,"SI","0",1,0,1,0,"1","0","0","0","0","0","0","0","1",4
"AULLAN CENTRO",0.6386,2272.18,"COCINA_CUYERO","PATIO",10,0,0,25,2,0,1,0,"0","1","1","0",2,2,"NO","0",0,0,0,0,"1","0","0","0","0","0","1","0","0",4
"CARPACHACA",0.2632,2285.59,"NO_ANIMAL_INTRA","PATIO",20,0,30,0,2,0,1,0,"0","0","1","1",4,1,"NO","0",0,0,0,0,"1","0","0","0","0","0","1","0","0",5
"LAS TORRES",0.1341,2217.82,"NO_ANIMAL_INTRA","CORRAL",0,0,5,0,0,0,0,0,"0","0","0","1",1,0,"SI","0",0,0,0,0,"1","0","0","0","0","0","1","0","1",1
"LAS TORRES",0.3125,2204.98,"NO_ANIMAL_INTRA","CORRAL",22,0,14,0,1,0,0,0,"0","0","1","1",0,0,"SI","0",4,0,1,0,"1","0","0","0","0","0","1","0","1",0
"LAS TORRES",0.3125,2199.88,"NO_ANIMAL_INTRA","PATIO",8,0,0,0,1,0,0,0,"0","0","1","0",1,1,"NO","1",0,0,0,0,"1","0","0","0","0","0","0","0","1",2
"CARPACHACA",0.2632,2299.21,"CORRAL","PATIO",38,5,0,20,0,0,0,0,"1","1","1","0",1,0,"SI","0",0,0,0,0,"1","0","0","0","0","1","1","0","1",1
"AULLAN CENTRO",0.2632,2287.52,"NO_ANIMAL_INTRA","PATIO",10,0,10,0,1,0,0,0,"0","0","1","1",0,2,"NO","0",0,0,0,0,"1","0","0","0","0","0","0","0","0",2
"CARPACHACA",0.2632,2300.75,"NO_ANIMAL_INTRA","PATIO",4,0,0,0,2,0,2,0,"0","0","1","0",1,1,"NO","0",0,0,0,0,"1","0","0","0","0","0","1","0","0",2
